|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
0|Southend InteractiveUbisoft ParisPlayMagic Ltd. (PS4, Xbox One, Nintendo Switch)|UbisoftFeral Interactive (OS X)[1]|Unreal Engine 2||June|First-person shooter, stealth|Single-player, multiplayer|
1|Nintendo Software Technology|Nintendo|||November|Racing, extreme sports|Single-player, multiplayer|1080°
2|Peter Nepstad|The Illuminated Lantern|TADS||April|Interactive fiction|Single-player|
3|Freeverse|Freeverse|||October|Shoot Em Up||
4|Intelligent Systems|Nintendo|||June|Turn-based tactics|Single-player, multiplayer|Wars
5|LightworX CGI Ltd.|High Point Film and Television Ltd.|||2003|Interactive movie|Single-player|
6||SOCKO! Entertainment|Adventure Game Studio||May|Point-and-click adventure|Single-player |
7|Helixe (GBA), Krome Studios (PS2, GC)|THQNick Games|||September|Action-adventure  2D platform  (GBA) |Single-player|
8|Ciel|Ciel (PC)Pionesoft (DC, PS2)|||February|Visual novel|Single-player|
9|Ensemble Studios|Microsoft Game Studios|||September|Real-time strategy|Single-player, multiplayer|
10|Joymax|OSC|||February|Beat 'em up|Single-player, multiplayer|
11|Triumph Studios|Gathering of Developers|||July|Turn-based strategy|Single-player, multiplayer|
12|Private Moon Studios||||2003/2004 (episodes 1-3); 2007 (episode 4)|Adventure|Single-player|
13|Panther Games|Matrix Games|||WW: 2003|FPS||
14|Krisalis Software|TalonSoft  Global Star Software|||April|Business simulation game|Single-player|
15|Sigma Team|Sigma Team|||September|Top-down shooter||
16|Zono|Electronic Arts|||July|Real-time strategy|Single-player, multiplayer|Alien vs. Predator
17||Mud Duck Productions|||April|Racing|Single-player, Multiplayer|
18|Outrage Games|THQ|||August|Action-adventure|Single-player|
19|Black Ops Entertainment|EU: Play It!NA: Encore Software|||August|First-person shooter|Single-player, multiplayer|
20|Hothouse CreationsMöbius Entertainment (GBA)|Codemasters|||November|Music, rhythm|Single-player, multiplayer|
21|Mud Duck Productions|Crave Entertainment[1]|||December|Bowling||AMF Bowling
22|Indie Built|Microsoft Game Studios|||October|Extreme sports|Single player, multiplayer|
23|Harmonix|Sony Computer Entertainment|||March|Music|Single-player, multiplayer|
24|Anino Entertainment|Anino Entertainment|||November|Adventure, role-playing|Single player|
25|Max Design|Sunflowers InteractiveEA Games|||March|Real-time strategy, city-building game|Single-player|Anno
26|||||October|Strategy simulation game||
27||Konami|||2003|Third-person shooter|Single-player, Multi-player|
28||Herculean Effort Productions|Adventure Game Studio||July|Point-and-click adventure||Apprentice
29|Lucky Chicken Games|TDK Mediactive|||July|Action-adventure|Single-player|
30|Massive Development|Ravensburger Interactive Media|KRASS engine||November|Futuristic Sub Sim|Single-player, Multi-player|
31|Cattle Call[1]|Sony Computer Entertainment|||January|Tactical role-playing|Single-player|Arc the Lad
32|Planet Moon Studios|LucasArts|Amityville II||February|First-person shooter, third-person shooter|Single-player, multiplayer (Xbox only)|
33||Pixel Mine(current), Iron Will Games (former), Asylumsoft Inc. (original), TKO Software (former)|||March|Massively multiplayer online role-playing game|Multiplayer|
34|TreasureHitmaker|Sega (JP/NA)THQ (EU)|||February|Beat 'em up|Single-player|
35||"Atari, Inc. (CD-ROM)
Atari, SA/Atari Interactive, Inc. (download version)"|||November|Compilation|Single player, Multiplayer (max 2)|
36|Anarchy Enterprises|Activision Value|||March|City-building, construction and management, business simulation|Single-player|
37|Climax Brighton|AKA Acclaim|||January|Racing|Single-player, multiplayer|
38|Paradox Development|Eidos Interactive|||April|Sports, Fighting|Single PlayerMultiplayer|Backyard Wrestling
39|Rare|THQIn-Fusio (mobile)|||June|Platform, adventure|Single-player|Banjo-Kazooie
40|Konami|Konami|||JP: 2003-03-20|Sports game|Single-playermulti-player|
41|Monolith Softtri-Crescendo|Namco|||April|Role-playing video game|Single-player|
42|HotGen|Kemco|||March|Action-adventure|Single-player|Batman video games
43|Ubisoft Montreal|Ubisoft[a]|||October|Action, beat 'em up|Single-player, cooperative gameplay|
44|Lost Toys|Infogrames[a]Encore Software (Windows)|||January|First-person shooter, Simulation|Single-playerMultiplayer|
45||||Windows, macOS, Linux, Android, iOS||||
46|Digital Illusions CE|EA Games|Refractor 1||September|First-person shooter|Single-player, multiplayer|Battlefield
47|Digital Illusions CE|EA Games|||February|First-person shooter|Single-player, multiplayer|Battlefield
48|Warthog Games|Universal Interactive|||November|Sci-Fi|Single-player|
49|Konami Computer Entertainment Tokyo|KCET|||March|Music|Single-player & Multiplayer|beatmania IIDX & Bemani
50||||||||
51|Ubisoft Pictures|Ubisoft|Jade||February|Action-adventure|Single-player|
52|4HEAD Studios|Activision Value|||June|Business simulation game|1 Player|
53|Stellar Stone|GameMill Publishing|||November|Racing|Single-player|
54|Sonic Team|Sega|Sonic Adventure 2 ||May|Platform|Single-player, multiplayer|
55||||Windows, macOS, browsers||||
56|Argonaut GamesArgonaut SheffieldMöbius Entertainment (GBA)|Electronic ArtsLego InteractiveTHQ (GBA)Feral Interactive(OS X)|||January|Action-adventure|Single-player|
57|Digital Fiction|Majesco EntertainmentVivendi Universal Games (PAL)|||January|Fighting game, Sports game|Single-playerMultiplayer|
58|Future Games|NA: The Adventure CompanyCZE: Future GamesUK: GMX Media|||February|Adventure; horror|Single player|
59|XPEC Entertainment|NA: Xicat InteractiveEU: THQJP: Idea Factory|||March|Role-playing video game |Single-player, multiplayer|
