|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
0|2003|XIII (video game)|0|0|0|0|0|Southend InteractiveUbisoft ParisPlayMagic Ltd. (PS4, Xbox One, Nintendo Switch)|UbisoftFeral Interactive (OS X)[1]|Unreal Engine 2|Microsoft Windows, PlayStation 2, Xbox, GameCube, OS X, PlayStation 4, Xbox One, Nintendo Switch|34|First-person shooter, stealth|Single-player, multiplayer|
1|2003|1080° Avalanche|0|0|0|0|0|Nintendo Software Technology|Nintendo||Nintendo GameCube|69|Racing, extreme sports|Single-player, multiplayer|1080°
2|2003|1893: A World's Fair Mystery|0|0|0|0|0|Peter Nepstad|The Illuminated Lantern|TADS||24|Interactive fiction|Single-player|
3|2003|Active Lancer|0|0|0|0|0|Freeverse|Freeverse||Mac OS, Mac OS X|61|Shoot Em Up||
4|2003|Advance Wars 2: Black Hole Rising|0|1|0|Best Handheld Game|0|Intelligent Systems|Nintendo||Game Boy Advance|34|Turn-based tactics|Single-player, multiplayer|Wars
5|2003|Advanced Warriors|0|0|0|0|0|LightworX CGI Ltd.|High Point Film and Television Ltd.||DVD, Mobile phone|2003|Interactive movie|Single-player|
6|2003|The Adventures of Fatman|0|0|0|0|0||SOCKO! Entertainment|Adventure Game Studio|Microsoft Windows|30|Point-and-click adventure|Single-player |
7|2003|The Adventures of Jimmy Neutron Boy Genius: Jet Fusion|0|0|0|0|0|Helixe (GBA), Krome Studios (PS2, GC)|THQNick Games||Game Boy AdvanceGameCubePlayStation 2|51|Action-adventure  2D platform  (GBA) |Single-player|
8|2003|After... (visual novel)|0|0|0|0|0|Ciel|Ciel (PC)Pionesoft (DC, PS2)||Windows 98, Dreamcast, PlayStation 2, Blu-ray, DVD|9|Visual novel|Single-player|
9|2003|Age of Mythology: The Titans|0|1|0|Best PC Game|0|Ensemble Studios|Microsoft Game Studios||Microsoft Windows|51|Real-time strategy|Single-player, multiplayer|
