|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
4|2003|Advance Wars 2: Black Hole Rising|0|1|0|Best Handheld Game|0|Intelligent Systems|Nintendo|||June|Turn-based tactics|Single-player, multiplayer|Wars
9|2003|Age of Mythology: The Titans|0|1|0|Best PC Game|0|Ensemble Studios|Microsoft Game Studios|||September|Real-time strategy|Single-player, multiplayer|
34|2003|Astro Boy: Omega Factor|0|1|0|Best Handheld|0|TreasureHitmaker|Sega (JP/NA)THQ (EU)|||February|Beat 'em up|Single-player|
38|2003|Backyard Wrestling: Don't Try This at Home|0|1|0|Best Fighting Game|0|Paradox Development|Eidos Interactive|||April|Sports, Fighting|Single PlayerMultiplayer|Backyard Wrestling
46|2003|Battlefield 1942: Secret Weapons of WWII|0|1|0|Best First Person Action|0|Digital Illusions CE|EA Games|Refractor 1||September|First-person shooter|Single-player, multiplayer|Battlefield
47|2003|Battlefield 1942: The Road to Rome|0|2|0|['Best PC Game', 'Best Online Game']|0|Digital Illusions CE|EA Games|||February|First-person shooter|Single-player, multiplayer|Battlefield
61|2003|Bloody Roar 4|0|1|0|Best Fighting Game|0|Hudson Soft, Eighting|Konami|||May|Fighting|Single-player, multiplayer|Bloody Roar
89|2003|Castlevania: Aria of Sorrow|0|1|0|Best Handheld Game|0|Konami Computer Entertainment Tokyo|Konami|||May|Platform-adventure, metroidvania, action role-playing|Single-player|Castlevania
111|2003|Command & Conquer: Generals – Zero Hour|0|1|0|Best PC Game|0|EA Los Angeles|EA Games (Windows)Aspyr Media (Mac OS X)|SAGE||February|Real-time strategy|Single-player, multiplayer|Command & Conquer
136|2003|Dead or Alive Xtreme Beach Volleyball|1|1|Best Animation|Best Animation|0|Team Ninja|Tecmo|||January|Sports|Single-player, multiplayer|Dead or Alive
140|2003|Def Jam Vendetta|1|2|Best Music|['Best Music', 'Best Fighting Game']|0|AKI CorporationEA Canada|EA Sports BIG  EA Games (Japan)|||April|Sports, fighting|Single-player, multiplayer|Def Jam
159|2003|Donkey Konga|0|1|0|Most Addictive Game (viewer's choice)|0|Namco|Nintendo|||March|Music game|Single-player, multiplayer|Donkey Kong
185|2003|Enter the Matrix|1|1|Best Game Based on a Movie|Best Game Based on a Movie|0|Shiny Entertainment|Infogrames[a]|||May|Action-adventure, fighting|Single-player, multiplayer|The Matrix
189|2003|ESPN NFL Football|0|1|0|Best Sports Game|0||Sega|||September|Sports|Single player, multiplayer|
190|2003|ESPN NHL Hockey|0|1|0|Most Addictive|0||Sega|||September|Sports|Single player, multiplayer|
193|2003|EverQuest Online Adventures|0|2|0|['Best Online Game', 'Best Fantasy Game']|0|Sony Online Entertainment|Sony Online Entertainment (North America)SCEE (Europe)|||February|MMORPG|Multiplayer|
199|2003|F-Zero GX|0|1|0|Best Driving Game|0|Amusement Vision|Nintendo|||July|Racing|Single-player, multiplayer|F-Zero
201|2003|F1 Career Challenge|0|1|0|Best Driving Game|0||EA Sports|||June|||EA Sports F1 series 
